"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"4603"	-4.56963512534161	7.22528139473846	-19.8879468758315	1.84673362255963e-29	3.36567202711493e-25	56.0500784015942
"149628"	-3.16886474060638	7.40383316078462	-17.7921578750198	8.83892778555576e-27	1.20817094168815e-22	50.1805160801211
"197358"	-2.718832610013	7.64097184895385	-16.7525281689714	2.26565902047071e-25	2.06458178240394e-21	47.0713163036716
"154075"	-2.77710113124468	7.02421827255385	-16.3764779017983	7.55863736145702e-25	5.3788390239936e-21	45.9128020068054
"100528032"	-2.61442222318913	7.96994469832308	-15.2836380408709	2.76445200969848e-23	1.37405830572968e-19	42.4409319582201
"22914"	-2.61442222318913	7.96994469832308	-15.2836380408709	2.76445200969848e-23	1.37405830572968e-19	42.4409319582201
"445347"	-3.41684889817346	7.97783069289615	-14.6092435798733	1.32460656869531e-20	2.03291721536932e-17	40.1616905826856
"6967"	-3.41684889817346	7.97783069289615	-14.6092435798733	1.32460656869531e-20	2.03291721536932e-17	40.1616905826856
"6983"	-3.41684889817346	7.97783069289615	-14.6092435798733	1.32460656869531e-20	2.03291721536932e-17	40.1616905826856
"23180"	-1.97303621352128	7.68985025989231	-14.4998428465004	4.00525073970444e-22	1.45991389462227e-18	39.852601616721
"6095"	-3.0979216685591	9.25764557464615	-14.3551188925214	6.61775224690591e-22	2.12838590646812e-18	39.3655823400195
"2205"	-5.13433535303783	7.21678418223077	-14.3029077097442	7.93726925343752e-22	2.41094553573165e-18	39.1891845763924
"3821"	-3.76347136895863	6.63465578027692	-14.2845414769431	8.46219235285786e-22	2.43510719417107e-18	39.1270453156028
"3822"	-3.76347136895863	6.63465578027692	-14.2845414769431	8.46219235285786e-22	2.43510719417107e-18	39.1270453156028
"100506779"	-2.29729660259456	6.19516083407692	-14.1722727744317	1.25284442458627e-21	3.31906446637177e-18	38.7462041854232
"64968"	-1.62017970664539	7.41849630044615	-14.1012039015416	1.6074423836058e-21	3.99485965107488e-18	38.5042357126599
"10730"	-3.80260857248503	7.85213515327692	-13.630955570439	5.66735054429506e-20	8.24908599924369e-17	36.8417016189855
"868"	-2.43289988569858	5.03636118033846	-13.5839903298727	1.00534438993589e-20	2.19868818078978e-17	36.7225673351368
"10578"	-3.73151344457683	8.50353347336923	-13.5067437165836	2.29506821344851e-19	2.70871444540243e-16	36.3894687326086
"10801"	-1.20471798900236	10.0590156961077	-13.4786003316591	1.46680830287512e-20	3.0845286138345e-17	36.3550632094248
"83888"	-3.69305364505792	6.17083993481538	-13.3730265926273	2.14455326689503e-20	4.34272036546244e-17	35.9854066336426
"10225"	-2.56018429287943	5.07592712233846	-13.2855766901994	2.9406933499191e-20	5.32088019311556e-17	35.6780647896268
"29121"	-1.88264165191608	5.36560049164615	-13.2571327889625	3.25940595172599e-20	5.56900063783183e-17	35.5778757835792
"7049"	-3.27444272789598	5.69364936992308	-13.1988003306385	4.02648364513594e-20	6.67115131205477e-17	35.3720668467427
"11278"	-2.53764157019858	8.15644835178461	-13.1820161631086	4.27928443614849e-20	6.88146695724761e-17	35.3127636285578
"4068"	-3.15994116423641	7.40285704358462	-13.125455850675	5.25536307237315e-20	7.99589290720392e-17	35.1126398857534
